[DEBUG] 2022-10-25 19:35:00.841 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2022-10-25 19:35:00.845 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2022-10-25 19:35:00.848 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2022-10-25 19:35:00.898 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2022-10-25 19:35:00.900 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2022-10-25 19:35:01.306 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2022-10-25 19:35:01.307 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2022-10-25 19:35:01.333 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2022-10-25 19:35:01.812 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2022-10-25 19:35:01.842 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2022-10-25 19:35:01.843 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2022-10-25 19:35:01.876 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2022-10-25 19:35:01.912 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@59845579
[DEBUG] 2022-10-25 19:35:01.912 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@59845579
[DEBUG] 2022-10-25 19:35:01.912 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@59845579
[DEBUG] 2022-10-25 19:35:01.913 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@71664560
[DEBUG] 2022-10-25 19:35:01.913 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@674da77b
[DEBUG] 2022-10-25 19:35:01.914 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@5348d83c
[DEBUG] 2022-10-25 19:35:01.914 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5b1efaaf
[DEBUG] 2022-10-25 19:35:01.915 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@5b1efaaf
[DEBUG] 2022-10-25 19:35:01.915 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@5b1efaaf
[DEBUG] 2022-10-25 19:35:01.932 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@49cd946c
[DEBUG] 2022-10-25 19:35:01.932 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@49cd946c
[DEBUG] 2022-10-25 19:35:01.932 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@49cd946c
[DEBUG] 2022-10-25 19:35:01.936 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2b6c7012
[DEBUG] 2022-10-25 19:35:01.937 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@2b6c7012
[DEBUG] 2022-10-25 19:35:01.937 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@2b6c7012
[DEBUG] 2022-10-25 19:35:01.938 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@577bf0aa
[DEBUG] 2022-10-25 19:35:01.938 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@577bf0aa
[DEBUG] 2022-10-25 19:35:01.938 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@577bf0aa
[DEBUG] 2022-10-25 19:35:01.939 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@611e5819
[DEBUG] 2022-10-25 19:35:01.939 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@611e5819
[DEBUG] 2022-10-25 19:35:01.939 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@611e5819
[DEBUG] 2022-10-25 19:35:01.939 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7eeb38b2
[DEBUG] 2022-10-25 19:35:01.940 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@7eeb38b2
[DEBUG] 2022-10-25 19:35:01.940 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@7eeb38b2
[DEBUG] 2022-10-25 19:35:01.940 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@61149fa5
[DEBUG] 2022-10-25 19:35:01.941 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@61149fa5
[DEBUG] 2022-10-25 19:35:01.941 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@61149fa5
[DEBUG] 2022-10-25 19:35:01.942 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@19b07407
[DEBUG] 2022-10-25 19:35:01.942 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@19b07407
[DEBUG] 2022-10-25 19:35:01.942 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@188a5fc2
[DEBUG] 2022-10-25 19:35:01.943 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@188a5fc2
[DEBUG] 2022-10-25 19:35:01.943 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@4a89ef44
[DEBUG] 2022-10-25 19:35:01.943 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@4a89ef44
[DEBUG] 2022-10-25 19:35:01.944 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@4c07d1fc
[DEBUG] 2022-10-25 19:35:01.944 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@66ec4409
[DEBUG] 2022-10-25 19:35:01.945 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@236fdf
[DEBUG] 2022-10-25 19:35:01.945 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@236fdf
[DEBUG] 2022-10-25 19:35:01.946 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@195580ba
[DEBUG] 2022-10-25 19:35:01.946 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@195580ba
[DEBUG] 2022-10-25 19:35:01.952 [main] BasicTypeRegistry - Adding type registration Instant -> org.hibernate.type.InstantType@4dfdfe7d
[DEBUG] 2022-10-25 19:35:01.952 [main] BasicTypeRegistry - Adding type registration java.time.Instant -> org.hibernate.type.InstantType@4dfdfe7d
[DEBUG] 2022-10-25 19:35:01.954 [main] BasicTypeRegistry - Adding type registration LocalDateTime -> org.hibernate.type.LocalDateTimeType@7b222230
[DEBUG] 2022-10-25 19:35:01.954 [main] BasicTypeRegistry - Adding type registration java.time.LocalDateTime -> org.hibernate.type.LocalDateTimeType@7b222230
[DEBUG] 2022-10-25 19:35:01.954 [main] BasicTypeRegistry - Adding type registration LocalDate -> org.hibernate.type.LocalDateType@415a3f6a
[DEBUG] 2022-10-25 19:35:01.954 [main] BasicTypeRegistry - Adding type registration java.time.LocalDate -> org.hibernate.type.LocalDateType@415a3f6a
[DEBUG] 2022-10-25 19:35:01.955 [main] BasicTypeRegistry - Adding type registration LocalTime -> org.hibernate.type.LocalTimeType@741741d0
[DEBUG] 2022-10-25 19:35:01.955 [main] BasicTypeRegistry - Adding type registration java.time.LocalTime -> org.hibernate.type.LocalTimeType@741741d0
[DEBUG] 2022-10-25 19:35:01.966 [main] BasicTypeRegistry - Adding type registration OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@10177794
[DEBUG] 2022-10-25 19:35:01.966 [main] BasicTypeRegistry - Adding type registration java.time.OffsetDateTime -> org.hibernate.type.OffsetDateTimeType@10177794
[DEBUG] 2022-10-25 19:35:01.967 [main] BasicTypeRegistry - Adding type registration OffsetTime -> org.hibernate.type.OffsetTimeType@59303963
[DEBUG] 2022-10-25 19:35:01.967 [main] BasicTypeRegistry - Adding type registration java.time.OffsetTime -> org.hibernate.type.OffsetTimeType@59303963
[DEBUG] 2022-10-25 19:35:01.969 [main] BasicTypeRegistry - Adding type registration ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@51a16adf
[DEBUG] 2022-10-25 19:35:01.969 [main] BasicTypeRegistry - Adding type registration java.time.ZonedDateTime -> org.hibernate.type.ZonedDateTimeType@51a16adf
[DEBUG] 2022-10-25 19:35:01.970 [main] BasicTypeRegistry - Adding type registration date -> org.hibernate.type.DateType@46320c9a
[DEBUG] 2022-10-25 19:35:01.970 [main] BasicTypeRegistry - Adding type registration java.sql.Date -> org.hibernate.type.DateType@46320c9a
[DEBUG] 2022-10-25 19:35:01.971 [main] BasicTypeRegistry - Adding type registration time -> org.hibernate.type.TimeType@23e3f5cd
[DEBUG] 2022-10-25 19:35:01.971 [main] BasicTypeRegistry - Adding type registration java.sql.Time -> org.hibernate.type.TimeType@23e3f5cd
[DEBUG] 2022-10-25 19:35:01.972 [main] BasicTypeRegistry - Adding type registration timestamp -> org.hibernate.type.TimestampType@798deee8
[DEBUG] 2022-10-25 19:35:01.972 [main] BasicTypeRegistry - Adding type registration java.sql.Timestamp -> org.hibernate.type.TimestampType@798deee8
[DEBUG] 2022-10-25 19:35:01.972 [main] BasicTypeRegistry - Adding type registration java.util.Date -> org.hibernate.type.TimestampType@798deee8
[DEBUG] 2022-10-25 19:35:01.973 [main] BasicTypeRegistry - Adding type registration dbtimestamp -> org.hibernate.type.DbTimestampType@3434a4f0
[DEBUG] 2022-10-25 19:35:01.973 [main] BasicTypeRegistry - Adding type registration calendar -> org.hibernate.type.CalendarType@261de205
[DEBUG] 2022-10-25 19:35:01.974 [main] BasicTypeRegistry - Adding type registration java.util.Calendar -> org.hibernate.type.CalendarType@261de205
[DEBUG] 2022-10-25 19:35:01.974 [main] BasicTypeRegistry - Adding type registration java.util.GregorianCalendar -> org.hibernate.type.CalendarType@261de205
[DEBUG] 2022-10-25 19:35:01.974 [main] BasicTypeRegistry - Adding type registration calendar_date -> org.hibernate.type.CalendarDateType@443a53df
[DEBUG] 2022-10-25 19:35:01.975 [main] BasicTypeRegistry - Adding type registration locale -> org.hibernate.type.LocaleType@b950f82
[DEBUG] 2022-10-25 19:35:01.975 [main] BasicTypeRegistry - Adding type registration java.util.Locale -> org.hibernate.type.LocaleType@b950f82
[DEBUG] 2022-10-25 19:35:01.976 [main] BasicTypeRegistry - Adding type registration currency -> org.hibernate.type.CurrencyType@498c535d
[DEBUG] 2022-10-25 19:35:01.976 [main] BasicTypeRegistry - Adding type registration java.util.Currency -> org.hibernate.type.CurrencyType@498c535d
[DEBUG] 2022-10-25 19:35:01.977 [main] BasicTypeRegistry - Adding type registration timezone -> org.hibernate.type.TimeZoneType@43da0955
[DEBUG] 2022-10-25 19:35:01.978 [main] BasicTypeRegistry - Adding type registration java.util.TimeZone -> org.hibernate.type.TimeZoneType@43da0955
[DEBUG] 2022-10-25 19:35:01.978 [main] BasicTypeRegistry - Adding type registration class -> org.hibernate.type.ClassType@42ed89da
[DEBUG] 2022-10-25 19:35:01.978 [main] BasicTypeRegistry - Adding type registration java.lang.Class -> org.hibernate.type.ClassType@42ed89da
[DEBUG] 2022-10-25 19:35:01.979 [main] BasicTypeRegistry - Adding type registration uuid-binary -> org.hibernate.type.UUIDBinaryType@34d480b9
[DEBUG] 2022-10-25 19:35:01.979 [main] BasicTypeRegistry - Adding type registration java.util.UUID -> org.hibernate.type.UUIDBinaryType@34d480b9
[DEBUG] 2022-10-25 19:35:01.979 [main] BasicTypeRegistry - Adding type registration uuid-char -> org.hibernate.type.UUIDCharType@617449dd
