[DEBUG] 2022-10-03 11:41:55.215 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2022-10-03 11:41:55.222 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2022-10-03 11:41:55.226 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2022-10-03 11:41:55.297 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2022-10-03 11:41:55.298 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2022-10-03 11:41:55.502 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2022-10-03 11:41:55.503 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2022-10-03 11:41:55.508 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2022-10-03 11:41:55.821 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2022-10-03 11:41:55.846 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2022-10-03 11:41:55.846 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2022-10-03 11:41:55.861 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2022-10-03 11:41:55.892 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@93f432e
[DEBUG] 2022-10-03 11:41:55.892 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@93f432e
[DEBUG] 2022-10-03 11:41:55.892 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@93f432e
[DEBUG] 2022-10-03 11:41:55.893 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@5b051a5c
[DEBUG] 2022-10-03 11:41:55.893 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@58cf8f94
[DEBUG] 2022-10-03 11:41:55.894 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@34f392be
[DEBUG] 2022-10-03 11:41:55.895 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@58496c97
[DEBUG] 2022-10-03 11:41:55.895 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@58496c97
[DEBUG] 2022-10-03 11:41:55.895 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@58496c97
[DEBUG] 2022-10-03 11:41:55.896 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@6ecab872
